survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,ibiz_rating,features_rating,security_rating,dept_org_unit,prod_type,age
New Account,1/6/2020,7,7,10,,,,,,,,CB ,Deposits,60
New Account,1/6/2020,7,7,10,,,,,,,,CB ,Deposits,21
Digital Banking,1/7/2020,7,7,10,7,7,5,5,,7,7,CB ,Deposits,48
Mortgage Post Closing,1/6/2020,3,7,10,,,,,,,,,,25
Mortgage Post Closing,1/6/2020,7,7,10,,,,,,,,,,72
Retail Banking,1/7/2020,7,7,10,,,,,,,,CB ,Deposits,66
Retail Banking,1/6/2020,2,2,3,,,,,,,,CB ,Deposits,74
Closed Account,1/4/2020,7,7,10,,,,,,,,PB ,Loans,62
Retail Banking,1/4/2020,6,7,10,,,,,,,,PB ,Deposits,64
Closed Account,1/4/2020,7,7,10,,,,,,,,BB ,Deposits,
New Account,1/3/2020,7,7,10,,,,,,,,PB ,Deposits,
New Account,1/3/2020,7,7,10,,,,,,,,CB ,Deposits,63
Retail Banking,1/3/2020,7,7,10,,,,,,,,C RE ,Loans,73
Business Banking,1/3/2020,7,7,10,,,,,,,,BB ,Loans,
Business Banking,1/3/2020,7,7,10,,,,,,,,BB ,Deposits,
New Account,1/4/2020,7,7,10,,,,,,,,CB ,Deposits,58
Retail Banking,1/4/2020,3,1,0,,,,,,,,CB ,Deposits,24
Business Banking,1/9/2020,2,4,0,,,,,,,,BB ,Deposits,
Business Banking,1/5/2020,5,6,9,,,,,,,,PB ,Deposits,
Loan,1/23/2020,7,7,10,,,,,,,,CB ,Loans,63
Retail Banking,1/6/2020,7,7,10,,,,,,,,CB ,Deposits,63
Retail Banking,1/7/2020,6,6,7,,,,,,,,CB ,Deposits,60
Business Banking,1/8/2020,7,7,10,,,,,,,,BB ,Deposits,
Digital Banking,1/7/2020,5,5,6,5,5,2,4,,5,5,CB ,Deposits,84
Business Banking,1/7/2020,7,7,10,,,,,,,,BB ,Deposits,
Business Banking,1/7/2020,7,7,10,,,,,,,,BB ,Deposits,
Retail Banking,1/7/2020,7,7,10,,,,,,,,PB ,Loans,49
Digital Banking,1/7/2020,5,5,7,7,4,5,4,,5,6,CB ,Loans,36
Digital Banking,1/7/2020,3,4,10,1,1,1,2,,4,1,PB ,Deposits,77
Retail Banking,1/9/2020,7,7,10,,,,,,,,CB ,Loans,73
Business Banking,1/5/2020,3,1,2,,,,,,,,PB ,Loans,
New Account,1/11/2020,7,7,10,,,,,,,,CB ,Deposits,74
New Account,1/11/2020,7,7,10,,,,,,,,CB ,Deposits,43
Retail Banking,1/25/2020,7,7,10,,,,,,,,CB ,Loans,70
Loan,1/10/2020,7,7,10,,,,,,,,CB ,Loans,65
Business Banking,1/10/2020,7,5,8,,,,,,,,BB ,Deposits,
Loan,1/10/2020,7,7,10,,,,,,,,CB ,Loans,68
Retail Banking,1/10/2020,4,2,5,,,,,,,,CB ,Deposits,20
Retail Banking,1/10/2020,4,5,8,,,,,,,,CB ,Loans,62
Digital Banking,1/10/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,73
Retail Banking,1/10/2020,6,6,9,,,,,,,,CB ,Deposits,71
Retail Banking,1/25/2020,7,7,10,,,,,,,,CB ,Loans,71
Loan,1/10/2020,7,7,10,,,,,,,,CB ,Loans,73
New Account,1/11/2020,7,7,10,,,,,,,,CB ,Deposits,26
Business Banking,1/25/2020,7,7,10,,,,,,,,BB ,Deposits,
New Account,1/11/2020,7,7,10,,,,,,,,CB ,Deposits,23
Retail Banking,1/25/2020,7,7,10,,,,,,,,CB ,Deposits,38
New Account,1/11/2020,7,7,8,,,,,,,,PB ,Deposits,59
Digital Banking,1/10/2020,5,7,10,7,4,3,2,,5,5,CB ,Deposits,74
Digital Banking,1/10/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,86
Digital Banking,1/10/2020,6,7,10,6,6,6,6,,6,7,PB ,Deposits,76
Retail Banking,1/10/2020,5,6,10,,,,,,,,CB ,Deposits,30
New Account,1/25/2020,6,6,8,,,,,,,,CB ,Deposits,95
New Account,1/10/2020,7,7,10,,,,,,,,CB ,Deposits,50
Loan,1/23/2020,7,7,10,,,,,,,,CB ,Loans,54
New Account,1/11/2020,7,7,10,,,,,,,,CB ,Deposits,54
New Account,1/29/2020,7,6,9,,,,,,,,CB ,Deposits,49
Closed Account,1/18/2020,7,7,10,,,,,,,,CB ,Loans,34
Closed Account,1/18/2020,7,7,10,,,,,,,,CB ,Loans,47
Business Banking,1/20/2020,7,7,5,,,,,,,,BB ,Deposits,
Mortgage Post Closing,1/20/2020,7,7,10,,,,,,,,,,39
Business Banking,1/22/2020,7,7,10,,,,,,,,BB ,Deposits,
Mortgage Post Closing,1/24/2020,7,5,8,,,,,,,,,,34
Loan,1/24/2020,7,7,10,,,,,,,,CB ,Loans,70
New Account,1/24/2020,7,7,8,,,,,,,,CB ,Deposits,63
Business Banking,1/24/2020,3,4,3,,,,,,,,BB ,Deposits,
Business Banking,1/24/2020,5,7,5,,,,,,,,BB ,Loans,
Loan,1/10/2020,7,7,10,,,,,,,,CB ,Loans,77
