survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,2/21/2020,6,6,9,7,5,5,5,5,6,CB ,Deposits,57
Digital Banking,2/21/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,69
Digital Banking,2/21/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,32
Digital Banking,2/21/2020,6,7,10,7,7,6,5,7,7,PB ,Deposits,71
Digital Banking,2/21/2020,6,7,10,6,6,6,7,7,7,CB ,Deposits,64
Digital Banking,2/20/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,79
Digital Banking,2/20/2020,5,6,8,4,4,4,5,4,6,CB ,Deposits,55
Digital Banking,2/20/2020,4,5,9,5,4,4,4,5,5,CB ,Deposits,66
Digital Banking,2/21/2020,6,6,9,7,7,7,7,7,7,CB ,Deposits,62
Digital Banking,2/21/2020,6,6,8,6,6,5,5,6,6,CB ,Deposits,69
Digital Banking,2/21/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,63
Digital Banking,2/21/2020,6,7,9,7,7,5,7,7,7,CB ,Deposits,59
Digital Banking,2/20/2020,7,7,10,7,7,7,6,6,7,CB ,Loans,63
Digital Banking,2/24/2020,5,6,8,6,5,4,5,5,5,CB ,Deposits,48
Digital Banking,2/13/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,71
Digital Banking,2/19/2020,6,6,10,6,5,6,6,6,6,PB ,Deposits,71
Digital Banking,2/20/2020,7,5,8,6,6,4,5,5,7,CB ,Deposits,36
Digital Banking,2/13/2020,2,1,0,2,2,2,2,2,1,PB ,Deposits,39
Digital Banking,2/13/2020,4,3,3,7,7,7,1,1,7,CB ,Loans,39
Digital Banking,2/13/2020,7,7,10,7,6,7,7,6,7,CB ,Deposits,73
Digital Banking,2/13/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,75
Digital Banking,2/13/2020,1,4,5,6,6,6,1,1,7,CB ,Deposits,28
Digital Banking,2/13/2020,6,6,9,6,6,6,6,6,6,CB ,Deposits,61
Digital Banking,2/25/2020,6,5,7,5,4,6,6,5,7,CB ,Deposits,71
Digital Banking,2/10/2020,5,6,7,6,5,6,6,6,6,CB ,Deposits,68
Digital Banking,2/13/2020,7,7,9,7,7,7,7,7,7,CB ,Deposits,67
Digital Banking,2/14/2020,2,4,4,6,1,4,4,3,6,CB ,Deposits,58
Digital Banking,2/14/2020,6,4,7,6,4,5,3,5,6,CB ,Deposits,69
Digital Banking,2/13/2020,7,7,10,5,6,6,7,7,7,CB ,Loans,54
Digital Banking,2/20/2020,6,7,10,7,7,7,7,7,7,CB ,Deposits,49
Digital Banking,2/21/2020,6,7,10,7,6,6,7,7,7,CB ,Loans,78
Digital Banking,2/20/2020,5,6,8,6,5,6,6,6,6,CB ,Deposits,56
Digital Banking,2/24/2020,7,7,9,7,7,7,7,7,7,CB ,Deposits,74
Digital Banking,2/10/2020,7,7,10,6,6,7,6,7,7,CB ,Deposits,68
Digital Banking,2/7/2020,6,7,10,7,6,6,7,7,7,CB ,Loans,77
Digital Banking,2/7/2020,6,7,10,7,7,6,6,6,6,CB ,Deposits,57
Digital Banking,2/8/2020,6,7,10,7,7,7,7,7,7,CB ,Deposits,75
Digital Banking,2/8/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,72
Digital Banking,2/9/2020,6,6,9,6,6,4,5,6,7,CB ,Loans,57
Digital Banking,3/9/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,80
Digital Banking,3/6/2020,6,7,10,6,3,6,6,6,6,CB ,Deposits,48
Digital Banking,3/9/2020,6,6,7,7,5,6,6,6,6,BB ,Deposits,61
Digital Banking,3/20/2020,7,7,10,7,7,6,6,7,7,CB ,Deposits,86
Digital Banking,3/12/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,65
Digital Banking,3/6/2020,7,7,10,7,6,6,6,6,7,CB ,Deposits,82
