survey_name,month,interview_date,satis_rating,avg_sat_rating,ease_rating,recommend_rating,login_rating,navig_rating,web_rating,function_rating,feature_rating,security_rating,dept_org_unit,product,zipcode,age,
Digital Banking,2020M02,2/5/2020,7,,7,10,7,6,6,7,7,7,CB ,Loans,78259,67,
Digital Banking,2020M02,2/5/2020,2,,7,10,2,2,2,3,3,7,CB ,Deposits,78244,77,
Digital Banking,2020M02,2/6/2020,6,,7,10,7,7,6,7,7,7,CB ,Deposits,78260,66,
Digital Banking,2020M02,2/6/2020,6,,7,10,7,7,5,6,7,7,CB ,Deposits,78248,62,
Digital Banking,2020M02,2/7/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78163,87,
Digital Banking,2020M02,2/4/2020,5,,4,7,2,3,2,5,5,5,CB ,Deposits,78028,46,
Digital Banking,2020M02,2/4/2020,2,,7,10,1,1,1,1,1,1,CB ,Deposits,78660,74,
Digital Banking,2020M02,2/4/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78230,72,
Digital Banking,2020M02,2/4/2020,3,,7,10,5,5,5,2,6,4,CB ,Deposits,78148,56,
Digital Banking,2020M02,2/7/2020,6,,7,10,7,6,6,7,7,7,CB ,Deposits,78025,30,
Digital Banking,2020M02,2/19/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78108,62,
Digital Banking,2020M02,2/7/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78676,72,
Digital Banking,2020M02,2/6/2020,7,,6,10,6,5,6,6,7,7,CB ,Deposits,78239,85,
Digital Banking,2020M02,2/6/2020,5,,7,10,3,4,5,5,5,5,CB ,Deposits,78233,66,
Digital Banking,2020M02,2/7/2020,3,,7,5,1,2,1,4,1,5,CB ,Deposits,78006,66,
Digital Banking,2020M02,2/7/2020,6,,6,9,6,6,6,6,6,6,CB ,Deposits,78073,68,
Digital Banking,2020M02,2/24/2020,5,,5,8,5,5,5,5,4,6,CB ,Loans,54911,58,
Digital Banking,2020M02,2/21/2020,7,,7,10,6,6,6,7,7,7,CB ,Loans,78218,69,
Digital Banking,2020M02,2/24/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78249,24,
Digital Banking,2020M02,2/18/2020,6,,6,9,6,6,6,6,6,6,CB ,Deposits,22153,66,
Digital Banking,2020M02,2/19/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78109,83,
Digital Banking,2020M02,2/21/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78218,80,
Digital Banking,2020M02,2/21/2020,6,,6,9,7,5,5,5,5,6,CB ,Deposits,78006,57,
Digital Banking,2020M02,2/21/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78249,69,
Digital Banking,2020M02,2/21/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78237,32,
Digital Banking,2020M02,2/21/2020,6,,7,10,7,7,6,5,7,7,PB ,Deposits,78209,71,
Digital Banking,2020M02,2/21/2020,6,,7,10,6,6,6,7,7,7,CB ,Deposits,78132,64,
Digital Banking,2020M02,2/20/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78239,79,
Digital Banking,2020M02,2/20/2020,5,,6,8,4,4,4,5,4,6,CB ,Deposits,78640,55,
Digital Banking,2020M02,2/20/2020,4,,5,9,5,4,4,4,5,5,CB ,Deposits,78028,66,
Digital Banking,2020M02,2/21/2020,6,,6,9,7,7,7,7,7,7,CB ,Deposits,78217,62,
Digital Banking,2020M02,2/21/2020,6,,6,8,6,6,5,5,6,6,CB ,Deposits,78209,69,
Digital Banking,2020M02,2/21/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78256,63,
